Date,KOSPI2
2011-01-07,276
2011-01-14,278
2011-01-21,273
2011-01-28,278
2011-02-04,273
2011-02-11,260
2011-02-18,266
2011-02-25,259
2011-03-04,265
2011-03-11,257
2011-03-18,262
2011-03-25,272
2011-04-01,281
2011-04-08,281
2011-04-15,283
2011-04-22,291
2011-04-29,291
2011-05-06,284
2011-05-13,280
2011-05-20,279
2011-05-27,278
2011-06-03,279
2011-06-10,269
2011-06-17,266
2011-06-24,275
2011-07-01,279
2011-07-08,286
2011-07-15,280
2011-07-22,283
2011-07-29,277
2011-08-05,252
2011-08-12,231
2011-08-19,223
2011-08-26,229
2011-09-02,240
2011-09-09,234
2011-09-16,238
2011-09-23,219
2011-09-30,231
2011-10-07,230
2011-10-14,240
2011-10-21,240
2011-10-28,253
2011-11-04,253
2011-11-11,243
2011-11-18,240
2011-11-25,231
2011-12-02,251
2011-12-09,245
2011-12-16,240
2011-12-23,244
2011-12-30,241
2012-01-06,244
2012-01-13,248
2012-01-20,260
2012-01-27,262
2012-02-03,262
2012-02-10,264
2012-02-17,269
2012-02-24,269
2012-03-02,271
2012-03-09,269
2012-03-16,272
2012-03-23,271
2012-03-30,270
2012-04-06,274
2012-04-13,270
2012-04-20,265
2012-04-27,267
2012-05-04,268
2012-05-11,257
2012-05-18,239
2012-05-25,245
2012-06-01,246
2012-06-08,247
2012-06-15,250
2012-06-22,247
2012-06-29,248
2012-07-06,248
2012-07-13,242
2012-07-20,244
2012-07-27,246
2012-08-03,248
2012-08-10,263
2012-08-17,262
2012-08-24,257
2012-08-31,254
2012-09-07,258
2012-09-14,269
2012-09-21,267
2012-09-28,266
2012-10-05,266
2012-10-12,256
2012-10-19,258
2012-10-26,251
2012-11-02,255
2012-11-09,252
2012-11-16,247
2012-11-23,255
2012-11-30,258
2012-12-07,262
2012-12-14,268
2012-12-21,266
2012-12-28,270
2013-01-04,273
2013-01-11,270
2013-01-18,268
2013-01-25,262
2013-02-01,264
2013-02-08,263
2013-02-15,268
2013-02-22,274
2013-03-01,274
2013-03-08,271
2013-03-15,267
2013-03-22,261
2013-03-29,270
2013-04-05,259
2013-04-12,258
2013-04-19,255
2013-04-26,259
2013-05-03,262
2013-05-10,259
2013-05-17,265
2013-05-24,264
2013-05-31,268
2013-06-07,257
2013-06-14,251
2013-06-21,242
2013-06-28,248
2013-07-05,243
2013-07-12,249
2013-07-19,248
2013-07-26,254
2013-08-02,256
2013-08-09,249
2013-08-16,256
2013-08-23,250
2013-08-30,258
2013-09-06,262
2013-09-13,267
2013-09-20,269
2013-09-27,270
2013-10-04,268
2013-10-11,273
2013-10-18,278
2013-10-25,274
2013-11-01,275
2013-11-08,267
2013-11-15,271
2013-11-22,271
2013-11-29,276
2013-12-06,267
2013-12-13,265
2013-12-20,268
2013-12-27,273
2014-01-03,264
2014-01-10,262
2014-01-17,263
2014-01-24,262
2014-01-31,262
2014-02-07,260
2014-02-14,262
2014-02-21,264
2014-02-28,268
2014-03-07,267
2014-03-14,258
2014-03-21,260
2014-03-28,267
2014-04-04,269
2014-04-11,270
2014-04-18,271
2014-04-25,267
2014-05-02,264
2014-05-09,263
2014-05-16,272
2014-05-23,273
2014-05-30,269
2014-06-06,270
2014-06-13,268
2014-06-20,264
2014-06-27,268
2014-07-04,270
2014-07-11,266
2014-07-18,271
2014-07-25,273
2014-08-01,278
2014-08-08,272
2014-08-15,276
2014-08-22,274
2014-08-29,275
2014-09-05,272
2014-09-12,271
2014-09-19,272
2014-09-26,268
2014-10-03,259
2014-10-10,254
2014-10-17,249
2014-10-24,252
2014-10-31,260
2014-11-07,256
2014-11-14,257
2014-11-21,259
2014-11-28,263
2014-12-05,264
2014-12-12,255
2014-12-19,257
2014-12-26,259
2015-01-02,257
2015-01-09,259
2015-01-16,255
2015-01-23,263
2015-01-30,263
2015-02-06,263
2015-02-13,262
2015-02-20,263
2015-02-27,264
2015-03-06,269
2015-03-13,265
2015-03-20,272
2015-03-27,268
2015-04-03,270
2015-04-10,275
2015-04-17,282
2015-04-24,285
2015-05-01,280
2015-05-08,274
2015-05-15,275
2015-05-22,279
2015-05-29,274
2015-06-05,268
2015-06-12,264
2015-06-19,262
2015-06-26,267
2015-07-03,268
2015-07-10,259
2015-07-17,263
2015-07-24,257
2015-07-31,257
2015-08-07,252
2015-08-14,249
2015-08-21,239
2015-08-28,244
2015-09-04,240
2015-09-11,246
2015-09-18,253
2015-09-25,246
2015-10-02,249
2015-10-09,259
2015-10-16,260
2015-10-23,262
2015-10-30,262
2015-11-06,263
2015-11-13,255
2015-11-20,257
2015-11-27,262
2015-12-04,255
2015-12-11,253
2015-12-18,255
2015-12-25,258
2016-01-01,256
2016-01-08,249
2016-01-15,244
2016-01-22,244
2016-01-29,247
2016-02-05,249
2016-02-12,240
2016-02-19,251
2016-02-26,251
2016-03-04,256
2016-03-11,258
2016-03-18,261
2016-03-25,261
2016-04-01,259
2016-04-08,259
2016-04-15,266
2016-04-22,266
2016-04-29,262
2016-05-06,260
2016-05-13,257
2016-05-20,255
2016-05-27,259
2016-06-03,261
2016-06-10,266
2016-06-17,258
2016-06-24,256
2016-07-01,264
2016-07-08,260
2016-07-15,269
2016-07-22,268
2016-07-29,269
2016-08-05,270
2016-08-12,274
2016-08-19,277
2016-08-26,274
2016-09-02,275
2016-09-09,275
2016-09-16,269
2016-09-23,277
2016-09-30,276
2016-10-07,278
2016-10-14,273
2016-10-21,275
2016-10-28,275
2016-11-04,270
2016-11-11,270
2016-11-18,268
2016-11-25,270
2016-12-02,271
2016-12-09,279
2016-12-16,281
2016-12-23,280
2016-12-30,283
2017-01-06,286
2017-01-13,291
2017-01-20,290
2017-01-27,294
2017-02-03,292
2017-02-10,292
2017-02-17,292
2017-02-24,294
2017-03-03,293
2017-03-10,296
2017-03-17,307
2017-03-24,307
2017-03-31,306
2017-04-07,304
2017-04-14,302
2017-04-21,305
2017-04-28,313
2017-05-05,319
2017-05-12,325
2017-05-19,325
2017-05-26,335
2017-06-02,336
2017-06-09,337
2017-06-16,335
2017-06-23,338
2017-06-30,340
2017-07-07,339
2017-07-14,346
2017-07-21,351
2017-07-28,343
2017-08-04,342
2017-08-11,331
2017-08-18,337
2017-08-25,340
2017-09-01,336
2017-09-08,336
2017-09-15,343
2017-09-22,346
2017-09-29,346
2017-10-06,346
2017-10-13,358
2017-10-20,359
2017-10-27,360
2017-11-03,370
2017-11-10,367
2017-11-17,365
2017-11-24,367
2017-12-01,355
2017-12-08,355
2017-12-15,357
2017-12-22,351
2017-12-29,360
2018-01-05,365
2018-01-12,362
2018-01-19,365
2018-01-26,372
2018-02-02,362
2018-02-09,338
2018-02-16,349
2018-02-23,351
2018-03-02,342
2018-03-09,352
2018-03-16,358
2018-03-23,346
2018-03-30,349
2018-04-06,346
2018-04-13,349
2018-04-20,353
2018-04-27,356
2018-05-04,352
2018-05-11,354
2018-05-18,350
2018-05-25,353
2018-06-01,348
2018-06-08,350
2018-06-15,343
2018-06-22,337
2018-06-29,333
2018-07-06,326
2018-07-13,332
2018-07-20,330
2018-07-27,331
2018-08-03,329
2018-08-10,327
2018-08-17,322
2018-08-24,329
2018-08-31,334
2018-09-07,326
2018-09-14,331
2018-09-21,335
2018-09-28,335
2018-10-05,325
2018-10-12,312
2018-10-19,311
2018-10-26,293
2018-11-02,304
2018-11-09,303
2018-11-16,303
2018-11-23,297
2018-11-30,303
2018-12-07,300
2018-12-14,297
2018-12-21,296
2018-12-28,297
2019-01-04,293
2019-01-11,303
2019-01-18,311
2019-01-25,320
2019-02-01,325
2019-02-08,320
2019-02-15,322
2019-02-22,328
2019-03-01,322
2019-03-08,312
2019-03-15,318
2019-03-22,322
2019-03-29,315
2019-04-05,327
2019-04-12,329
2019-04-19,326
2019-04-26,321
2019-05-03,323
2019-05-10,310
2019-05-17,301
2019-05-24,301
2019-05-31,301
2019-06-07,306
2019-06-14,308
2019-06-21,314
2019-06-28,317
2019-07-05,313
2019-07-12,312
2019-07-19,314
2019-07-26,311
2019-08-02,301
2019-08-09,291
2019-08-16,290
2019-08-23,293
2019-08-30,296
2019-09-06,303
2019-09-13,310
2019-09-20,316
2019-09-27,311
2019-10-04,306
2019-10-11,311
2019-10-18,313
2019-10-25,317
2019-11-01,319
2019-11-08,324
2019-11-15,329
2019-11-22,320
2019-11-29,317
2019-12-06,317
2019-12-13,332
2019-12-20,338
2019-12-27,343
2020-01-03,338
2020-01-10,345
2020-01-17,352
2020-01-24,351
2020-01-31,331
2020-02-07,347
2020-02-14,352
2020-02-21,340
2020-02-28,311
2020-03-06,320
2020-03-13,280
2020-03-20,248
2020-03-27,272
2020-04-03,270
2020-04-10,289
2020-04-17,297
2020-04-24,292
2020-05-01,301
2020-05-08,299
2020-05-15,296
2020-05-22,303
2020-05-29,313
2020-06-05,339
2020-06-12,328
2020-06-19,330
2020-06-26,330
2020-07-03,334
2020-07-10,333
2020-07-17,341
2020-07-24,340
2020-07-31,350
2020-08-07,365
2020-08-14,373
2020-08-21,358
2020-08-28,365
2020-09-04,365
2020-09-11,370
2020-09-18,372
2020-09-25,355
2020-10-02,362
2020-10-09,372
2020-10-16,365
2020-10-23,368
2020-10-30,353
2020-11-06,377
2020-11-13,390
2020-11-20,399
2020-11-27,413
2020-12-04,430
2020-12-11,436
2020-12-18,435
2020-12-25,444
2021-01-01,461
2021-01-08,509
2021-01-15,497
2021-01-22,505
2021-01-29,479
2021-02-05,501
2021-02-12,496
2021-02-19,498
2021-02-26,485
2021-03-05,487
2021-03-12,492
2021-03-19,491
2021-03-26,492
2021-04-02,505
2021-04-09,506
2021-04-16,516
2021-04-23,511
2021-04-30,504
2021-05-07,511
2021-05-14,501
2021-05-21,503
2021-05-28,508
2021-06-04,516
2021-06-11,516
2021-06-18,519
2021-06-25,525
2021-07-02,521
2021-07-09,511
2021-07-15,522
